,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class
44,encounter,encountered,ɪnkaʊnər,ɪnkaʊnərd,-d,Reg,No,-d
45,disturb,disturbed,dɪstərb,dɪstərbd,-d,Reg,No,-d
46,whisk,whisked,wɪsk,wɪskt,-t,Reg,No,-t
47,exaggerate,exaggerated,ɪgzæʤəreɪt,ɪgzæʤəreɪtɪd,-ɪd,Reg,No,-ɪd
48,stun,stunned,stən,stənd,-d,Reg,No,-d
49,conceive,conceived,kənsiv,kənsivd,-d,Reg,No,-d
50,sculpt,sculpted,skəlpt,skəlptɪd,-ɪd,Reg,No,-ɪd
51,mortar,mortared,mɔrtər,mɔrtərd,-d,Reg,No,-d
52,lime,limed,laɪm,laɪmd,-d,Reg,No,-d
53,commute,commuted,kəmjut,kəmjutɪd,-ɪd,Reg,No,-ɪd
54,enhance,enhanced,ɛnhæns,ɛnhænst,-t,Reg,No,-t
55,triumph,triumphed,traɪəmf,traɪəmft,-t,Reg,No,-t
56,enjoy,enjoyed,ɛnʤɔɪ,ɛnʤɔɪd,-d,Reg,Yes,-d
57,chew,chewed,ʧu,ʧud,-d,Reg,Yes,-d
58,charter,chartered,ʧɑrtər,ʧɑrtərd,-d,Reg,No,-d
59,overdo,overdid,oʊvərdu,oʊvərdɪd,u-ɪd,Irreg,No,other
60,force,forced,fɔrs,fɔrst,-t,Reg,No,-t
61,chain-smoke,chain-smoked,ʧeɪnsmoʊk,ʧeɪnsmoʊkt,-t,Reg,No,-t
62,direct,directed,dɪrɛkt,dɪrɛktɪd,-ɪd,Reg,No,-ɪd
63,pulse,pulsed,pəls,pəlst,-t,Reg,No,-t
64,nail,nailed,neɪl,neɪld,-d,Reg,No,-d
65,crave,craved,kreɪv,kreɪvd,-d,Reg,No,-d
66,persuade,persuaded,pərsweɪd,pərsweɪdɪd,-ɪd,Reg,No,-ɪd
67,tether,tethered,tɛðər,tɛðərd,-d,Reg,No,-d
68,kidnap,kidnapped,kɪdnæp,kɪdnæpt,-t,Reg,No,-t
69,ransack,ransacked,rænsæk,rænsækt,-t,Reg,No,-t
70,dumbfound,dumbfounded,dəmfaʊnd,dəmfaʊndɪd,-ɪd,Reg,No,-ɪd
71,pander,pandered,pændər,pændərd,-d,Reg,No,-d
72,employ,employed,ɪmplɔɪ,ɪmplɔɪd,-d,Reg,No,-d
73,captain,captained,kæptən,kæptənd,-d,Reg,No,-d
74,hide,hid,haɪd,hɪd,aɪ-ɪ,Irreg,No,vowel change
75,wreck,wrecked,rɛk,rɛkt,-t,Reg,No,-t
76,worsen,worsened,wərsən,wərsənd,-d,Reg,No,-d
77,thunder,thundered,θəndər,θəndərd,-d,Reg,No,-d
78,revolutionize,revolutionized,rɛvəluʃənaɪz,rɛvəluʃənaɪzd,-d,Reg,No,-d
79,poison,poisoned,pɔɪzən,pɔɪzənd,-d,Reg,No,-d
80,decry,decried,dɪkraɪ,dɪkraɪd,-d,Reg,No,-d
81,insinuate,insinuated,ɪnsɪnjueɪt,ɪnsɪnjueɪtɪd,-ɪd,Reg,No,-ɪd
82,succumb,succumbed,səkəm,səkəmd,-d,Reg,No,-d
83,cull,culled,kəl,kəld,-d,Reg,No,-d
84,crunch,crunched,krənʧ,krənʧt,-t,Reg,Yes,-t
85,crouch,crouched,kraʊʧ,kraʊʧt,-t,Reg,No,-t
86,avert,averted,əvərt,əvərtɪd,-ɪd,Reg,No,-ɪd
87,splinter,splintered,splɪntər,splɪntərd,-d,Reg,No,-d
88,metamorphose,metamorphosed,mɛtəmɔrfoʊz,mɛtəmɔrfoʊzd,-d,Reg,No,-d
89,herd,herded,hərd,hərdɪd,-ɪd,Reg,No,-ɪd
90,socialize,socialized,soʊʃəlaɪz,soʊʃəlaɪzd,-d,Reg,No,-d
91,misfire,misfired,mɪsfaɪər,mɪsfaɪərd,-d,Reg,No,-d
92,mew,mewed,mju,mjud,-d,Reg,No,-d
93,manacle,manacled,mænəkəl,mænəkəld,-d,Reg,No,-d
94,subjugate,subjugated,səbʤəgeɪt,səbʤəgeɪtɪd,-ɪd,Reg,No,-ɪd
95,burgle,burgled,bərgəl,bərgəld,-d,Reg,No,-d
96,shriek,shrieked,ʃrik,ʃrikt,-t,Reg,No,-t
97,enroll,enroled,ɪnroʊl,ɪnroʊld,-d,Reg,No,-d
98,interpret,interpreted,ɪntərprət,ɪntərprətɪd,-ɪd,Reg,No,-ɪd
99,violate,violated,vaɪəleɪt,vaɪəleɪtɪd,-ɪd,Reg,No,-ɪd
100,dry,dried,draɪ,draɪd,-d,Reg,Yes,-d
101,voice,voiced,vɔɪs,vɔɪst,-t,Reg,No,-t
102,clarify,clarified,klɛrəfaɪ,klɛrəfaɪd,-d,Reg,No,-d
103,study,studied,stədi,stədid,-d,Reg,No,-d
104,ridicule,ridiculed,rɪdəkjul,rɪdəkjuld,-d,Reg,No,-d
105,anchor,anchored,æŋkər,æŋkərd,-d,Reg,No,-d
106,credit,credited,krɛdɪt,krɛdɪtɪd,-ɪd,Reg,No,-ɪd
107,harass,harassed,həræs,həræst,-t,Reg,No,-t
108,smoke,smoked,smoʊk,smoʊkt,-t,Reg,No,-t
109,mime,mimed,maɪm,maɪmd,-d,Reg,No,-d
110,intrigue,intrigued,ɪntrig,ɪntrigd,-d,Reg,No,-d
111,divide,divided,dɪvaɪd,dɪvaɪdɪd,-ɪd,Reg,No,-ɪd
112,campaign,campaigned,kæmpeɪn,kæmpeɪnd,-d,Reg,No,-d
113,ground,grounded,graʊnd,graʊndɪd,-ɪd,Reg,No,-ɪd
114,bayonet,bayoneted,beɪənɛt,beɪənɛtɪd,-ɪd,Reg,No,-ɪd
115,dehumanize,dehumanized,dɪhjumənaɪz,dɪhjumənaɪzd,-d,Reg,No,-d
116,lengthen,lengthened,lɛŋθən,lɛŋθənd,-d,Reg,No,-d
117,replace,replaced,ripleɪs,ripleɪst,-t,Reg,No,-t
118,elude,eluded,ɪlud,ɪludɪd,-ɪd,Reg,No,-ɪd
119,sneer,sneered,snɪr,snɪrd,-d,Reg,No,-d
120,bludgeon,bludgeoned,bləʤən,bləʤənd,-d,Reg,No,-d
121,glance,glanced,glæns,glænst,-t,Reg,No,-t
122,total,totalled,toʊtəl,toʊtəld,-d,Reg,No,-d
123,circumvent,circumvented,sərkəmvɛnt,sərkəmvɛntɪd,-ɪd,Reg,No,-ɪd
124,landscape,landscaped,lændskeɪp,lændskeɪpt,-t,Reg,No,-t
125,mooch,mooched,muʧ,muʧt,-t,Reg,No,-t
126,plot,plotted,plɑt,plɑtɪd,-ɪd,Reg,No,-ɪd
127,overhear,overheard,oʊvərhir,oʊvərhərd,i-əd,Irreg,No,vowel change + d
128,reflate,reflated,rifleɪt,rifleɪtɪd,-ɪd,Reg,No,-ɪd
129,plop,plopped,plɑp,plɑpt,-t,Reg,No,-t
130,pulp,pulped,pəlp,pəlpt,-t,Reg,No,-t
131,browse,browsed,braʊz,braʊzd,-d,Reg,No,-d
132,motivate,motivated,moʊtəveɪt,moʊtəveɪtɪd,-ɪd,Reg,No,-ɪd
133,exhort,exhorted,ɪgzɔrt,ɪgzɔrtɪd,-ɪd,Reg,No,-ɪd
134,outwit,outwitted,aʊtwɪt,aʊtwɪtɪd,-ɪd,Reg,No,-ɪd
135,insult,insulted,ɪnsəlt,ɪnsəltɪd,-ɪd,Reg,No,-ɪd
136,plod,plodded,plɑd,plɑdɪd,-ɪd,Reg,Yes,-ɪd
137,mediate,mediated,midieɪt,midieɪtɪd,-ɪd,Reg,No,-ɪd
138,call,called,kɔl,kɔld,-d,Reg,Yes,-d
139,calm,calmed,kɑm,kɑmd,-d,Reg,Yes,-d
140,centre,centred,sɛntər,sɛntərd,-d,Reg,No,-d
141,recommend,recommended,rɛkəmɛnd,rɛkəmɛndɪd,-ɪd,Reg,No,-ɪd
142,survive,survived,sərvaɪv,sərvaɪvd,-d,Reg,No,-d
143,delude,deluded,dɪlud,dɪludɪd,-ɪd,Reg,No,-ɪd
144,type,typed,taɪp,taɪpt,-t,Reg,No,-t
145,tell,told,tɛl,toʊd,ɛl-oʊd,Irreg,Yes,vowel change + d
146,rankle,rankled,ræŋkəl,ræŋkəld,-d,Reg,No,-d
147,breathe,breathed,brið,briðd,-d,Reg,No,-d
148,quash,quashed,kwɔʃ,kwɔʃt,-t,Reg,No,-t
149,relay,relayed,rileɪ,rileɪd,-d,Reg,No,-d
150,relax,relaxed,rɪlæks,rɪlækst,-t,Reg,No,-t
151,moulder,mouldered,moʊldər,moʊldərd,-d,Reg,No,-d
152,award,awarded,əwɔrd,əwɔrdɪd,-ɪd,Reg,No,-ɪd
153,warn,warned,wɔrn,wɔrnd,-d,Reg,Yes,-d
154,phone,phoned,foʊn,foʊnd,-d,Reg,No,-d
155,warm,warmed,wɔrm,wɔrmd,-d,Reg,Yes,-d
156,hurl,hurled,hərl,hərld,-d,Reg,No,-d
157,adjourn,adjourned,əʤərn,əʤərnd,-d,Reg,No,-d
158,hole,holed,hoʊl,hoʊld,-d,Reg,No,-d
159,hold,held,hoʊld,hɛld,oʊ-ɛ,Irreg,Yes,vowel change
160,scribble,scribbled,skrɪbəl,skrɪbəld,-d,Reg,Yes,-d
161,blindfold,blindfolded,blaɪndfoʊld,blaɪndfoʊldɪd,-ɪd,Reg,No,-ɪd
162,overrun,overran,oʊvərʌn,oʊvəræn,ʌ-æ,Irreg,No,vowel change
163,shoot,shot,ʃut,ʃɑt,u-ɑ,Irreg,Yes,vowel change
164,retouch,retouched,ritəʧ,ritəʧt,-t,Reg,No,-t
165,join,joined,ʤɔɪn,ʤɔɪnd,-d,Reg,Yes,-d
166,room,roomed,rum,rumd,-d,Reg,No,-d
167,err,erred,ɛr,ɛrd,-d,Reg,No,-d
168,shame,shamed,ʃeɪm,ʃeɪmd,-d,Reg,No,-d
169,pursue,pursued,pərsu,pərsud,-d,Reg,No,-d
170,restock,restocked,ristɑk,ristɑkt,-t,Reg,No,-t
171,sweeten,sweetened,switən,switənd,-d,Reg,No,-d
172,work,worked,wərk,wərkt,-t,Reg,Yes,-t
173,eclipse,eclipsed,ɪklɪps,ɪklɪpst,-t,Reg,No,-t
174,worm,wormed,wərm,wərmd,-d,Reg,No,-d
175,roof,roofed,ruf,ruft,-t,Reg,No,-t
176,straddle,straddled,strædəl,strædəld,-d,Reg,No,-d
177,cuddle,cuddled,kʌdəl,kʌdəld,-d,Reg,No,-d
178,install,installed,ɪnstɔl,ɪnstɔld,-d,Reg,No,-d
179,shelve,shelved,ʃɛlv,ʃɛlvd,-d,Reg,No,-d
180,elbow,elbowed,ɛlboʊ,ɛlboʊd,-d,Reg,No,-d
181,exhale,exhaled,ɛksheɪl,ɛksheɪld,-d,Reg,No,-d
182,endow,endowed,ɛndaʊ,ɛndaʊd,-d,Reg,No,-d
183,scavenge,scavenged,skævənʤ,skævənʤd,-d,Reg,No,-d
184,quarrel,quarrelled,kwɔrəl,kwɔrəld,-d,Reg,No,-d
185,defer,deferred,dɪfər,dɪfərd,-d,Reg,No,-d
186,loosen,loosened,lusən,lusənd,-d,Reg,No,-d
187,quiver,quivered,kwɪvər,kwɪvərd,-d,Reg,Yes,-d
188,pollute,polluted,pəlut,pəlutɪd,-ɪd,Reg,No,-ɪd
189,give,gave,gɪv,geɪv,ɪ-eɪ,Irreg,Yes,vowel change
190,climax,climaxed,klaɪmæks,klaɪmækst,-t,Reg,No,-t
191,assent,assented,əsɛnt,əsɛntɪd,-ɪd,Reg,No,-ɪd
192,swivel,swivelled,swɪvəl,swɪvəld,-d,Reg,No,-d
193,involve,involved,ɪnvɑlv,ɪnvɑlvd,-d,Reg,No,-d
194,malign,maligned,məlaɪn,məlaɪnd,-d,Reg,No,-d
195,caution,cautioned,kɔʃən,kɔʃənd,-d,Reg,No,-d
196,want,wanted,wɔnt,wɔntɪd,-ɪd,Reg,Yes,-ɪd
197,jumble,jumbled,ʤəmbəl,ʤəmbəld,-d,Reg,No,-d
198,freshen,freshened,frɛʃən,frɛʃənd,-d,Reg,No,-d
199,attract,attracted,ətrækt,ətræktɪd,-ɪd,Reg,No,-ɪd
200,calve,calved,kʌv,kʌvd,-d,Reg,No,-d
201,guarantee,guaranteed,gɛrənti,gɛrəntid,-d,Reg,No,-d
202,legislate,legislated,lɛʤəsleɪt,lɛʤəsleɪtɪd,-ɪd,Reg,No,-ɪd
203,partition,partitioned,pɑrtɪʃən,pɑrtɪʃənd,-d,Reg,No,-d
204,hoe,hoed,hoʊ,hoʊd,-d,Reg,No,-d
205,end,ended,ɛnd,ɛndɪd,-ɪd,Reg,Yes,-ɪd
206,burnish,burnished,bərnɪʃ,bərnɪʃt,-t,Reg,No,-t
207,provide,provided,prəvaɪd,prəvaɪdɪd,-ɪd,Reg,No,-ɪd
208,verify,verified,vɛrəfaɪ,vɛrəfaɪd,-d,Reg,No,-d
209,travel,travelled,trævəl,trævəld,-d,Reg,No,-d
210,damage,damaged,dæmɪʤ,dæmɪʤd,-d,Reg,No,-d
211,machine,machined,məʃin,məʃind,-d,Reg,No,-d
212,farrow,farrowed,fɛroʊ,fɛroʊd,-d,Reg,No,-d
213,sever,severed,sɛvər,sɛvərd,-d,Reg,No,-d
214,hop,hopped,hɑp,hɑpt,-t,Reg,Yes,-t
215,answer,answered,ænsər,ænsərd,-d,Reg,Yes,-d
216,disappoint,disappointed,dɪsəpɔɪnt,dɪsəpɔɪntɪd,-ɪd,Reg,Yes,-ɪd
217,fudge,fudged,fəʤ,fəʤd,-d,Reg,Yes,-d
218,classify,classified,klæsəfaɪ,klæsəfaɪd,-d,Reg,No,-d
219,construe,construed,kənstru,kənstrud,-d,Reg,No,-d
220,moisten,moistened,mɔɪsən,mɔɪsənd,-d,Reg,No,-d
221,mess,messed,mɛs,mɛst,-t,Reg,Yes,-t
222,lag,lagged,læg,lægd,-d,Reg,No,-d
223,winch,winched,wɪnʧ,wɪnʧd,-d,Reg,No,-d
224,lump,lumped,lʌmp,lʌmpt,-t,Reg,No,-t
225,whittle,whittled,wɪtəl,wɪtəld,-d,Reg,No,-d
226,wrong,wronged,rɔŋ,rɔŋd,-d,Reg,No,-d
227,mesh,meshed,mɛʃ,mɛʃt,-t,Reg,No,-t
228,lay,laid,leɪ,leɪd,-d,Reg,Yes,-d
229,uproot,uprooted,ʌprut,ʌprutɪd,-ɪd,Reg,No,-ɪd
230,chorus,chorused,kɔrəs,kɔrəst,-t,Reg,No,-t
231,summarize,summarized,sʌməraɪz,sʌməraɪzd,-d,Reg,No,-d
232,warble,warbled,wɔrbəl,wɔrbəld,-d,Reg,No,-d
233,arch,arched,ɑrʧ,ɑrʧt,-t,Reg,No,-t
234,parallel,paralleled,pɛrəlɛl,pɛrəlɛld,-d,Reg,No,-d
235,purchase,purchased,pərʧəs,pərʧəst,-t,Reg,No,-t
236,profess,professed,prəfɛs,prəfɛst,-t,Reg,No,-t
237,attempt,attempted,ətɛmpt,ətɛmptɪd,-ɪd,Reg,No,-ɪd
238,deface,defaced,dɪfeɪs,dɪfeɪst,-t,Reg,No,-t
239,alienate,alienated,eɪliəneɪt,eɪliəneɪtɪd,-ɪd,Reg,No,-ɪd
240,drowse,drowsed,draʊz,draʊzd,-d,Reg,No,-d
241,pulsate,pulsated,pəlseɪt,pəlseɪtɪd,-ɪd,Reg,No,-ɪd
242,spout,spouted,spaʊt,spaʊtɪd,-ɪd,Reg,No,-ɪd
243,grant,granted,grænt,græntɪd,-ɪd,Reg,No,-ɪd
244,appreciate,appreciated,əpriʃieɪt,əpriʃieɪtɪd,-ɪd,Reg,No,-ɪd
245,greet,greeted,grit,gritɪd,-ɪd,Reg,No,-ɪd
246,think,thought,θɪŋk,θɔt,ɪŋk-ɔt,Irreg,Yes,ruckumlaut
247,wink,winked,wɪŋk,wɪŋkt,-t,Reg,No,-t
248,collectivize,collectivized,kəlɛktɪvaɪz,kəlɛktɪvaɪzd,-d,Reg,No,-d
249,maintain,maintained,meɪnteɪn,meɪnteɪnd,-d,Reg,No,-d
250,enter,entered,ɛntər,ɛntərd,-d,Reg,No,-d
251,operate,operated,ɔpəreɪt,ɔpəreɪtɪd,-ɪd,Reg,No,-ɪd
252,order,ordered,ɔrdər,ɔrdərd,-d,Reg,Yes,-d
253,fetter,fettered,fɛtər,fɛtərd,-d,Reg,No,-d
254,deform,deformed,difɔrm,difɔrmd,-d,Reg,No,-d
255,blockade,blockaded,blɑkeɪd,blɑkeɪdɪd,-ɪd,Reg,No,-ɪd
256,deck,decked,dɛk,dɛkt,-t,Reg,No,-t
257,sprout,sprouted,spraʊt,spraʊtɪd,-ɪd,Reg,No,-ɪd
258,clench,clenched,klɛnʧ,klɛnʧt,-t,Reg,No,-t
259,vary,varied,vɛri,vɛrid,-d,Reg,No,-d
260,outshine,outshone,aʊtʃaɪn,aʊtʃoʊn,aɪ-oʊ,Irreg,No,vowel change
261,befall,befell,bɪfɔl,bɪfɛl,ɔ-ɛ,Irreg,No,vowel change
262,handcuff,handcuffed,hændkəf,hændkəft,-t,Reg,No,-t
263,fortify,fortified,fɔrtəfaɪ,fɔrtəfaɪd,-d,Reg,No,-d
264,externalize,externalized,ɪkstərnəlaɪz,ɪkstərnəlaɪzd,-d,Reg,No,-d
265,expostulate,expostulated,ɪkspɑstuleɪt,ɪkspɑstuleɪtɪd,-ɪd,Reg,No,-ɪd
266,strangle,strangled,stræŋgəl,stræŋgəld,-d,Reg,No,-d
267,digest,digested,daɪʤɛst,daɪʤɛstɪd,-ɪd,Reg,No,-ɪd
268,estrange,estranged,ɪstreɪnʤ,ɪstreɪnʤd,-d,Reg,No,-d
269,idolize,idolized,aɪdəlaɪz,aɪdəlaɪzd,-d,Reg,No,-d
270,rebuff,rebuffed,rɪbəf,rɪbəft,-t,Reg,No,-t
271,fix,fixed,fɪks,fɪkst,-t,Reg,Yes,-t
272,gutter,guttered,gʌtər,gʌtərd,-d,Reg,No,-d
273,bemoan,bemoaned,bɪmoʊn,bɪmoʊnd,-d,Reg,No,-d
274,shackle,shackled,ʃækəl,ʃækəld,-d,Reg,No,-d
275,comprehend,comprehended,kɑmprɪhɛnd,kɑmprɪhɛndɪd,-ɪd,Reg,No,-ɪd
276,better,bettered,bɛtər,bɛtərd,-d,Reg,No,-d
277,tramp,tramped,træmp,træmpt,-t,Reg,No,-t
278,embroider,embroidered,ɪmbrɔɪdər,ɪmbrɔɪdərd,-d,Reg,No,-d
279,fade,faded,feɪd,feɪdɪd,-ɪd,Reg,No,-ɪd
280,persist,persisted,pərsɪst,pərsɪstɪd,-ɪd,Reg,No,-ɪd
281,carve,carved,kɑrv,kɑrvd,-d,Reg,No,-d
282,overshoot,overshot,oʊvərʃut,oʊvərʃɑt,u-ɑ,Irreg,No,vowel change
283,overcome,overcame,oʊvərkʌm,oʊvərkeɪm,ʌ-eɪ,Irreg,No,vowel change
284,vandalize,vandalized,vændəlaɪz,vændəlaɪzd,-d,Reg,No,-d
285,glorify,glorified,glɔrəfaɪ,glɔrəfaɪd,-d,Reg,No,-d
286,animate,animated,ænəmeɪt,ænəmeɪtɪd,-ɪd,Reg,No,-ɪd
287,enrich,enriched,ɛnrɪʧ,ɛnrɪʧt,-t,Reg,No,-t
288,plaster,plastered,plæstər,plæstərd,-d,Reg,No,-d
289,roost,roosted,rust,rustɪd,-ɪd,Reg,No,-ɪd
290,collide,collided,kəlaɪd,kəlaɪdɪd,-ɪd,Reg,No,-ɪd
291,microfilm,microfilmed,maɪkrəfɪlm,maɪkrəfɪlmd,-d,Reg,No,-d
292,break,broke,breɪk,broʊk,eɪ-oʊ,Irreg,Yes,vowel change
293,band,banded,bænd,bændɪd,-ɪd,Reg,No,-ɪd
294,bang,banged,bæŋ,bæŋd,-d,Reg,Yes,-d
295,manicure,manicured,mænɪkjər,mænɪkjərd,-d,Reg,No,-d
296,indulge,indulged,ɪndəlʤ,ɪndəlʤd,-d,Reg,No,-d
297,interrupt,interrupted,ɪntərəpt,ɪntərəptɪd,-ɪd,Reg,No,-ɪd
298,disburse,disbursed,dɪsbərs,dɪsbərst,-t,Reg,No,-t
299,spreadeagle,spreadeagled,sprɛdigəl,sprɛdigəld,-d,Reg,No,-d
300,bank,banked,bæŋk,bæŋkt,-t,Reg,No,-t
301,prize,prized,praɪz,praɪzd,-d,Reg,No,-d
302,rumour,rumoured,rumər,rumərd,-d,Reg,No,-d
303,extrude,extruded,ɪkstrud,ɪkstrudɪd,-ɪd,Reg,No,-ɪd
304,repaint,repainted,ripeɪnt,ripeɪntɪd,-ɪd,Reg,No,-ɪd
305,gallop,galloped,gæləp,gæləpt,-t,Reg,No,-t
306,defecate,defecated,dɛfəkeɪt,dɛfəkeɪtɪd,-ɪd,Reg,No,-ɪd
307,daydream,daydreamed,deɪdrim,deɪdrimd,-d,Reg,No,-d
308,chuck,chucked,ʧʌk,ʧʌkt,-t,Reg,No,-t
309,explode,exploded,ɪksploʊd,ɪksploʊdɪd,-ɪd,Reg,Yes,-ɪd
310,affiliate,affiliated,əfɪlieɪt,əfɪlieɪtɪd,-ɪd,Reg,No,-ɪd
311,misbehave,misbehaved,mɪsbəheɪv,mɪsbəheɪvd,-d,Reg,No,-d
312,pinch,pinched,pɪnʧ,pɪnʧt,-t,Reg,Yes,-t
313,toll,tolled,toʊl,toʊld,-d,Reg,No,-d
314,mean,meant,min,mɛnt,i-ɛt,Irreg,Yes,vowel change + t
315,consolidate,consolidated,kənsɑlɪdeɪt,kənsɑlɪdeɪtɪd,-ɪd,Reg,No,-ɪd
316,prohibit,prohibited,proʊhɪbət,proʊhɪbətɪd,-ɪd,Reg,No,-ɪd
317,shuttle,shuttled,ʃʌtəl,ʃʌtəld,-d,Reg,No,-d
318,telescope,telescoped,tɛləskoʊp,tɛləskoʊpd,-d,Reg,No,-d
319,swathe,swathed,swɑð,swɑðd,-d,Reg,No,-d
320,contravene,contravened,kɑntrəvin,kɑntrəvind,-d,Reg,No,-d
321,unscrew,unscrewed,ənskru,ənskrud,-d,Reg,No,-d
322,husband,husbanded,hʌzbənd,hʌzbəndɪd,-ɪd,Reg,No,-ɪd
323,proportion,proportioned,prəpɔrʃən,prəpɔrʃənd,-d,Reg,No,-d
324,carry,carried,kæri,kærid,-d,Reg,Yes,-d
325,exhume,exhumed,ɛkshjum,ɛkshjumd,-d,Reg,No,-d
326,whiz,whizzed,wɪz,wɪzd,-d,Reg,No,-d
327,hatch,hatched,hæʧ,hæʧt,-t,Reg,Yes,-t
328,ameliorate,ameliorated,əmiljəreɪt,əmiljəreɪtɪd,-ɪd,Reg,No,-ɪd
329,dawn,dawned,dɔn,dɔnd,-d,Reg,No,-d
330,extract,extracted,ɛkstrækt,ɛkstræktɪd,-ɪd,Reg,No,-ɪd
331,demote,demoted,dɪmoʊt,dɪmoʊtɪd,-ɪd,Reg,No,-ɪd
332,whip,whipped,wɪp,wɪpt,-t,Reg,No,-t
333,clothe,clothed,kloʊð,kloʊðd,-d,Reg,No,-d
334,contend,contended,kəntɛnd,kəntɛndɪd,-ɪd,Reg,No,-ɪd
335,depress,depressed,dɪprɛs,dɪprɛst,-t,Reg,No,-t
336,decree,decreed,dɪkri,dɪkrid,-d,Reg,No,-d
337,chequer,chequered,ʧɛkər,ʧɛkərd,-d,Reg,No,-d
338,enfeeble,enfeebled,ɛnfibəl,ɛnfibəld,-d,Reg,No,-d
339,smirk,smirked,smərk,smərkt,-t,Reg,No,-t
340,waive,waived,weɪv,weɪvd,-d,Reg,No,-d
341,portend,portended,pɔrtɛnd,pɔrtɛndɪd,-ɪd,Reg,No,-ɪd
342,sparkle,sparkled,spɑrkəl,spɑrkəld,-d,Reg,No,-d
343,encourage,encouraged,ɪnkərəʤ,ɪnkərəʤd,-d,Reg,No,-d
344,adapt,adapted,ədæpt,ədæptɪd,-ɪd,Reg,No,-ɪd
345,engrave,engraved,ɪngreɪv,ɪngreɪvd,-d,Reg,No,-d
346,surprise,surprised,səpraɪz,səpraɪzd,-d,Reg,Yes,-d
347,engineer,engineered,ɛnʤənir,ɛnʤənird,-d,Reg,No,-d
348,infest,infested,ɪnfɛst,ɪnfɛstɪd,-ɪd,Reg,No,-ɪd
349,instigate,instigated,ɪnstəgeɪt,ɪnstəgeɪtɪd,-ɪd,Reg,No,-ɪd
