,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class,freq
39,brutalize,brutalized,brutəlaɪz,brutəlaɪzd,-d,Reg,No,-d,2.0
40,smack,smacked,smæk,smækt,-t,Reg,No,-t,11.0
41,yellow,yellowed,jɛloʊ,jɛloʊd,-d,Reg,No,-d,4.0
42,govern,governed,gəvərn,gəvərnd,-d,Reg,No,-d,25.0
43,affect,affected,əfɛkt,əfɛktɪd,-ɪd,Reg,No,-ɪd,95.0
44,encounter,encountered,ɪnkaʊnər,ɪnkaʊnərd,-d,Reg,No,-d,42.0
45,disturb,disturbed,dɪstərb,dɪstərbd,-d,Reg,No,-d,66.0
46,whisk,whisked,wɪsk,wɪskt,-t,Reg,No,-t,13.0
47,exaggerate,exaggerated,ɪgzæʤəreɪt,ɪgzæʤəreɪtɪd,-ɪd,Reg,No,-ɪd,20.0
48,stun,stunned,stən,stənd,-d,Reg,No,-d,34.0
49,conceive,conceived,kənsiv,kənsivd,-d,Reg,No,-d,45.0
50,sculpt,sculpted,skəlpt,skəlptɪd,-ɪd,Reg,No,-ɪd,3.0
51,mortar,mortared,mɔrtər,mɔrtərd,-d,Reg,No,-d,1.0
52,lime,limed,laɪm,laɪmd,-d,Reg,No,-d,1.0
53,commute,commuted,kəmjut,kəmjutɪd,-ɪd,Reg,No,-ɪd,2.0
54,enhance,enhanced,ɛnhæns,ɛnhænst,-t,Reg,No,-t,23.0
56,enjoy,enjoyed,ɛnʤɔɪ,ɛnʤɔɪd,-d,Reg,Yes,-d,180.0
57,chew,chewed,ʧu,ʧud,-d,Reg,Yes,-d,21.0
58,charter,chartered,ʧɑrtər,ʧɑrtərd,-d,Reg,No,-d,11.0
59,overdo,overdid,oʊvərdu,oʊvərdɪd,u-ɪd,Irreg,No,other,2.0
60,force,forced,fɔrs,fɔrst,-t,Reg,No,-t,297.0
61,chain-smoke,chain-smoked,ʧeɪnsmoʊk,ʧeɪnsmoʊkt,-t,Reg,No,-t,1.0
62,direct,directed,dɪrɛkt,dɪrɛktɪd,-ɪd,Reg,No,-ɪd,119.0
63,pulse,pulsed,pəls,pəlst,-t,Reg,No,-t,2.0
64,nail,nailed,neɪl,neɪld,-d,Reg,No,-d,12.0
65,crave,craved,kreɪv,kreɪvd,-d,Reg,No,-d,5.0
66,persuade,persuaded,pərsweɪd,pərsweɪdɪd,-ɪd,Reg,No,-ɪd,81.0
67,tether,tethered,tɛðər,tɛðərd,-d,Reg,No,-d,9.0
68,kidnap,kidnapped,kɪdnæp,kɪdnæpt,-t,Reg,No,-t,9.0
69,ransack,ransacked,rænsæk,rænsækt,-t,Reg,No,-t,4.0
70,dumbfound,dumbfounded,dəmfaʊnd,dəmfaʊndɪd,-ɪd,Reg,No,-ɪd,3.0
71,pander,pandered,pændər,pændərd,-d,Reg,No,-d,1.0
72,employ,employed,ɪmplɔɪ,ɪmplɔɪd,-d,Reg,No,-d,121.0
73,captain,captained,kæptən,kæptənd,-d,Reg,No,-d,3.0
74,hide,hid,haɪd,hɪd,aɪ-ɪ,Irreg,No,vowel change,43.0
75,wreck,wrecked,rɛk,rɛkt,-t,Reg,No,-t,21.0
76,worsen,worsened,wərsən,wərsənd,-d,Reg,No,-d,3.0
77,thunder,thundered,θəndər,θəndərd,-d,Reg,No,-d,8.0
78,revolutionize,revolutionized,rɛvəluʃənaɪz,rɛvəluʃənaɪzd,-d,Reg,No,-d,6.0
79,poison,poisoned,pɔɪzən,pɔɪzənd,-d,Reg,No,-d,23.0
80,decry,decried,dɪkraɪ,dɪkraɪd,-d,Reg,No,-d,1.0
81,insinuate,insinuated,ɪnsɪnjueɪt,ɪnsɪnjueɪtɪd,-ɪd,Reg,No,-ɪd,2.0
82,succumb,succumbed,səkəm,səkəmd,-d,Reg,No,-d,11.0
83,cull,culled,kəl,kəld,-d,Reg,No,-d,4.0
84,crunch,crunched,krənʧ,krənʧt,-t,Reg,Yes,-t,6.0
85,crouch,crouched,kraʊʧ,kraʊʧt,-t,Reg,No,-t,28.0
86,avert,averted,əvərt,əvərtɪd,-ɪd,Reg,No,-ɪd,14.0
87,splinter,splintered,splɪntər,splɪntərd,-d,Reg,No,-d,7.0
88,metamorphose,metamorphosed,mɛtəmɔrfoʊz,mɛtəmɔrfoʊzd,-d,Reg,No,-d,2.0
89,herd,herded,hərd,hərdɪd,-ɪd,Reg,No,-ɪd,8.0
90,socialize,socialized,soʊʃəlaɪz,soʊʃəlaɪzd,-d,Reg,No,-d,6.0
91,misfire,misfired,mɪsfaɪər,mɪsfaɪərd,-d,Reg,No,-d,2.0
92,mew,mewed,mju,mjud,-d,Reg,No,-d,1.0
93,manacle,manacled,mænəkəl,mænəkəld,-d,Reg,No,-d,2.0
94,subjugate,subjugated,səbʤəgeɪt,səbʤəgeɪtɪd,-ɪd,Reg,No,-ɪd,2.0
95,burgle,burgled,bərgəl,bərgəld,-d,Reg,No,-d,2.0
96,shriek,shrieked,ʃrik,ʃrikt,-t,Reg,No,-t,20.0
97,enroll,enroled,ɪnroʊl,ɪnroʊld,-d,Reg,No,-d,7.0
98,interpret,interpreted,ɪntərprət,ɪntərprətɪd,-ɪd,Reg,No,-ɪd,44.0
99,violate,violated,vaɪəleɪt,vaɪəleɪtɪd,-ɪd,Reg,No,-ɪd,11.0
100,dry,dried,draɪ,draɪd,-d,Reg,Yes,-d,85.0
101,voice,voiced,vɔɪs,vɔɪst,-t,Reg,No,-t,11.0
102,clarify,clarified,klɛrəfaɪ,klɛrəfaɪd,-d,Reg,No,-d,9.0
103,study,studied,stədi,stədid,-d,Reg,No,-d,153.0
104,ridicule,ridiculed,rɪdəkjul,rɪdəkjuld,-d,Reg,No,-d,6.0
105,anchor,anchored,æŋkər,æŋkərd,-d,Reg,No,-d,11.0
106,credit,credited,krɛdɪt,krɛdɪtɪd,-ɪd,Reg,No,-ɪd,13.0
107,harass,harassed,həræs,həræst,-t,Reg,No,-t,19.0
108,smoke,smoked,smoʊk,smoʊkt,-t,Reg,No,-t,50.0
109,mime,mimed,maɪm,maɪmd,-d,Reg,No,-d,2.0
110,intrigue,intrigued,ɪntrig,ɪntrigd,-d,Reg,No,-d,18.0
111,divide,divided,dɪvaɪd,dɪvaɪdɪd,-ɪd,Reg,No,-ɪd,141.0
112,campaign,campaigned,kæmpeɪn,kæmpeɪnd,-d,Reg,No,-d,16.0
113,ground,grounded,graʊnd,graʊndɪd,-ɪd,Reg,No,-ɪd,10.0
114,bayonet,bayoneted,beɪənɛt,beɪənɛtɪd,-ɪd,Reg,No,-ɪd,1.0
115,dehumanize,dehumanized,dɪhjumənaɪz,dɪhjumənaɪzd,-d,Reg,No,-d,3.0
116,lengthen,lengthened,lɛŋθən,lɛŋθənd,-d,Reg,No,-d,7.0
117,replace,replaced,ripleɪs,ripleɪst,-t,Reg,No,-t,140.0
118,elude,eluded,ɪlud,ɪludɪd,-ɪd,Reg,No,-ɪd,7.0
119,sneer,sneered,snɪr,snɪrd,-d,Reg,No,-d,7.0
120,bludgeon,bludgeoned,bləʤən,bləʤənd,-d,Reg,No,-d,2.0
121,glance,glanced,glæns,glænst,-t,Reg,No,-t,116.0
122,total,totalled,toʊtəl,toʊtəld,-d,Reg,No,-d,7.0
123,circumvent,circumvented,sərkəmvɛnt,sərkəmvɛntɪd,-ɪd,Reg,No,-ɪd,1.0
124,landscape,landscaped,lændskeɪp,lændskeɪpt,-t,Reg,No,-t,4.0
125,mooch,mooched,muʧ,muʧt,-t,Reg,No,-t,1.0
126,plot,plotted,plɑt,plɑtɪd,-ɪd,Reg,No,-ɪd,8.0
128,reflate,reflated,rifleɪt,rifleɪtɪd,-ɪd,Reg,No,-ɪd,1.0
129,plop,plopped,plɑp,plɑpt,-t,Reg,No,-t,3.0
130,pulp,pulped,pəlp,pəlpt,-t,Reg,No,-t,2.0
131,browse,browsed,braʊz,braʊzd,-d,Reg,No,-d,2.0
132,motivate,motivated,moʊtəveɪt,moʊtəveɪtɪd,-ɪd,Reg,No,-ɪd,28.0
133,exhort,exhorted,ɪgzɔrt,ɪgzɔrtɪd,-ɪd,Reg,No,-ɪd,8.0
134,outwit,outwitted,aʊtwɪt,aʊtwɪtɪd,-ɪd,Reg,No,-ɪd,3.0
135,insult,insulted,ɪnsəlt,ɪnsəltɪd,-ɪd,Reg,No,-ɪd,19.0
136,plod,plodded,plɑd,plɑdɪd,-ɪd,Reg,Yes,-ɪd,5.0
137,mediate,mediated,midieɪt,midieɪtɪd,-ɪd,Reg,No,-ɪd,5.0
138,call,called,kɔl,kɔld,-d,Reg,Yes,-d,1498.0
139,calm,calmed,kɑm,kɑmd,-d,Reg,Yes,-d,13.0
140,centre,centred,sɛntər,sɛntərd,-d,Reg,No,-d,30.0
141,recommend,recommended,rɛkəmɛnd,rɛkəmɛndɪd,-ɪd,Reg,No,-ɪd,82.0
142,survive,survived,sərvaɪv,sərvaɪvd,-d,Reg,No,-d,100.0
143,delude,deluded,dɪlud,dɪludɪd,-ɪd,Reg,No,-ɪd,6.0
144,type,typed,taɪp,taɪpt,-t,Reg,No,-t,22.0
145,tell,told,tɛl,toʊd,ɛl-oʊd,Irreg,Yes,vowel change + d,1763.0
146,rankle,rankled,ræŋkəl,ræŋkəld,-d,Reg,No,-d,1.0
147,breathe,breathed,brið,briðd,-d,Reg,No,-d,42.0
148,quash,quashed,kwɔʃ,kwɔʃt,-t,Reg,No,-t,2.0
149,relay,relayed,rileɪ,rileɪd,-d,Reg,No,-d,7.0
150,relax,relaxed,rɪlæks,rɪlækst,-t,Reg,No,-t,106.0
151,moulder,mouldered,moʊldər,moʊldərd,-d,Reg,No,-d,1.0
152,award,awarded,əwɔrd,əwɔrdɪd,-ɪd,Reg,No,-ɪd,39.0
153,warn,warned,wɔrn,wɔrnd,-d,Reg,Yes,-d,109.0
154,phone,phoned,foʊn,foʊnd,-d,Reg,No,-d,50.0
155,warm,warmed,wɔrm,wɔrmd,-d,Reg,Yes,-d,26.0
156,hurl,hurled,hərl,hərld,-d,Reg,No,-d,28.0
157,adjourn,adjourned,əʤərn,əʤərnd,-d,Reg,No,-d,4.0
158,hole,holed,hoʊl,hoʊld,-d,Reg,No,-d,5.0
159,hold,held,hoʊld,hɛld,oʊ-ɛ,Irreg,Yes,vowel change,765.0
160,scribble,scribbled,skrɪbəl,skrɪbəld,-d,Reg,Yes,-d,14.0
161,blindfold,blindfolded,blaɪndfoʊld,blaɪndfoʊldɪd,-ɪd,Reg,No,-ɪd,4.0
162,overrun,overran,oʊvərʌn,oʊvəræn,ʌ-æ,Irreg,No,vowel change,1.0
163,shoot,shot,ʃut,ʃɑt,u-ɑ,Irreg,Yes,vowel change,157.0
164,retouch,retouched,ritəʧ,ritəʧt,-t,Reg,No,-t,1.0
165,join,joined,ʤɔɪn,ʤɔɪnd,-d,Reg,Yes,-d,211.0
166,room,roomed,rum,rumd,-d,Reg,No,-d,1.0
167,err,erred,ɛr,ɛrd,-d,Reg,No,-d,3.0
168,shame,shamed,ʃeɪm,ʃeɪmd,-d,Reg,No,-d,4.0
169,pursue,pursued,pərsu,pərsud,-d,Reg,No,-d,57.0
170,restock,restocked,ristɑk,ristɑkt,-t,Reg,No,-t,1.0
171,sweeten,sweetened,switən,switənd,-d,Reg,No,-d,6.0
172,work,worked,wərk,wərkt,-t,Reg,Yes,-t,520.0
173,eclipse,eclipsed,ɪklɪps,ɪklɪpst,-t,Reg,No,-t,5.0
174,worm,wormed,wərm,wərmd,-d,Reg,No,-d,2.0
175,roof,roofed,ruf,ruft,-t,Reg,No,-t,4.0
176,straddle,straddled,strædəl,strædəld,-d,Reg,No,-d,4.0
177,cuddle,cuddled,kʌdəl,kʌdəld,-d,Reg,No,-d,5.0
178,install,installed,ɪnstɔl,ɪnstɔld,-d,Reg,No,-d,50.0
179,shelve,shelved,ʃɛlv,ʃɛlvd,-d,Reg,No,-d,11.0
180,elbow,elbowed,ɛlboʊ,ɛlboʊd,-d,Reg,No,-d,2.0
181,exhale,exhaled,ɛksheɪl,ɛksheɪld,-d,Reg,No,-d,5.0
182,endow,endowed,ɛndaʊ,ɛndaʊd,-d,Reg,No,-d,18.0
183,scavenge,scavenged,skævənʤ,skævənʤd,-d,Reg,No,-d,1.0
184,quarrel,quarrelled,kwɔrəl,kwɔrəld,-d,Reg,No,-d,10.0
185,defer,deferred,dɪfər,dɪfərd,-d,Reg,No,-d,9.0
186,loosen,loosened,lusən,lusənd,-d,Reg,No,-d,12.0
187,quiver,quivered,kwɪvər,kwɪvərd,-d,Reg,Yes,-d,8.0
188,pollute,polluted,pəlut,pəlutɪd,-ɪd,Reg,No,-ɪd,17.0
189,give,gave,gɪv,geɪv,ɪ-eɪ,Irreg,Yes,vowel change,1291.0
191,assent,assented,əsɛnt,əsɛntɪd,-ɪd,Reg,No,-ɪd,2.0
192,swivel,swivelled,swɪvəl,swɪvəld,-d,Reg,No,-d,6.0
193,involve,involved,ɪnvɑlv,ɪnvɑlvd,-d,Reg,No,-d,465.0
194,malign,maligned,məlaɪn,məlaɪnd,-d,Reg,No,-d,5.0
195,caution,cautioned,kɔʃən,kɔʃənd,-d,Reg,No,-d,6.0
196,want,wanted,wɔnt,wɔntɪd,-ɪd,Reg,Yes,-ɪd,1200.0
197,jumble,jumbled,ʤəmbəl,ʤəmbəld,-d,Reg,No,-d,10.0
198,freshen,freshened,frɛʃən,frɛʃənd,-d,Reg,No,-d,1.0
199,attract,attracted,ətrækt,ətræktɪd,-ɪd,Reg,No,-ɪd,85.0
200,calve,calved,kʌv,kʌvd,-d,Reg,No,-d,1.0
201,guarantee,guaranteed,gɛrənti,gɛrəntid,-d,Reg,No,-d,47.0
202,legislate,legislated,lɛʤəsleɪt,lɛʤəsleɪtɪd,-ɪd,Reg,No,-ɪd,2.0
203,partition,partitioned,pɑrtɪʃən,pɑrtɪʃənd,-d,Reg,No,-d,3.0
204,hoe,hoed,hoʊ,hoʊd,-d,Reg,No,-d,1.0
205,end,ended,ɛnd,ɛndɪd,-ɪd,Reg,Yes,-ɪd,198.0
206,burnish,burnished,bərnɪʃ,bərnɪʃt,-t,Reg,No,-t,3.0
207,provide,provided,prəvaɪd,prəvaɪdɪd,-ɪd,Reg,No,-ɪd,252.0
208,verify,verified,vɛrəfaɪ,vɛrəfaɪd,-d,Reg,No,-d,7.0
209,travel,travelled,trævəl,trævəld,-d,Reg,No,-d,89.0
210,damage,damaged,dæmɪʤ,dæmɪʤd,-d,Reg,No,-d,59.0
211,machine,machined,məʃin,məʃind,-d,Reg,No,-d,1.0
212,farrow,farrowed,fɛroʊ,fɛroʊd,-d,Reg,No,-d,1.0
213,sever,severed,sɛvər,sɛvərd,-d,Reg,No,-d,15.0
214,hop,hopped,hɑp,hɑpt,-t,Reg,Yes,-t,13.0
215,answer,answered,ænsər,ænsərd,-d,Reg,Yes,-d,280.0
216,disappoint,disappointed,dɪsəpɔɪnt,dɪsəpɔɪntɪd,-ɪd,Reg,Yes,-ɪd,1.0
217,fudge,fudged,fəʤ,fəʤd,-d,Reg,Yes,-d,1.0
218,classify,classified,klæsəfaɪ,klæsəfaɪd,-d,Reg,No,-d,21.0
219,construe,construed,kənstru,kənstrud,-d,Reg,No,-d,7.0
220,moisten,moistened,mɔɪsən,mɔɪsənd,-d,Reg,No,-d,4.0
221,mess,messed,mɛs,mɛst,-t,Reg,Yes,-t,6.0
222,lag,lagged,læg,lægd,-d,Reg,No,-d,5.0
223,winch,winched,wɪnʧ,wɪnʧd,-d,Reg,No,-d,1.0
224,lump,lumped,lʌmp,lʌmpt,-t,Reg,No,-t,5.0
225,whittle,whittled,wɪtəl,wɪtəld,-d,Reg,No,-d,3.0
226,wrong,wronged,rɔŋ,rɔŋd,-d,Reg,No,-d,4.0
227,mesh,meshed,mɛʃ,mɛʃt,-t,Reg,No,-t,3.0
228,lay,laid,leɪ,leɪd,-d,Reg,Yes,-d,232.0
229,uproot,uprooted,ʌprut,ʌprutɪd,-ɪd,Reg,No,-ɪd,6.0
230,chorus,chorused,kɔrəs,kɔrəst,-t,Reg,No,-t,2.0
231,summarize,summarized,sʌməraɪz,sʌməraɪzd,-d,Reg,No,-d,15.0
232,warble,warbled,wɔrbəl,wɔrbəld,-d,Reg,No,-d,1.0
233,arch,arched,ɑrʧ,ɑrʧt,-t,Reg,No,-t,18.0
234,parallel,paralleled,pɛrəlɛl,pɛrəlɛld,-d,Reg,No,-d,6.0
235,purchase,purchased,pərʧəs,pərʧəst,-t,Reg,No,-t,27.0
236,profess,professed,prəfɛs,prəfɛst,-t,Reg,No,-t,6.0
237,attempt,attempted,ətɛmpt,ətɛmptɪd,-ɪd,Reg,No,-ɪd,105.0
238,deface,defaced,dɪfeɪs,dɪfeɪst,-t,Reg,No,-t,2.0
239,alienate,alienated,eɪliəneɪt,eɪliəneɪtɪd,-ɪd,Reg,No,-ɪd,21.0
240,drowse,drowsed,draʊz,draʊzd,-d,Reg,No,-d,2.0
241,pulsate,pulsated,pəlseɪt,pəlseɪtɪd,-ɪd,Reg,No,-ɪd,1.0
242,spout,spouted,spaʊt,spaʊtɪd,-ɪd,Reg,No,-ɪd,2.0
243,grant,granted,grænt,græntɪd,-ɪd,Reg,No,-ɪd,118.0
244,appreciate,appreciated,əpriʃieɪt,əpriʃieɪtɪd,-ɪd,Reg,No,-ɪd,38.0
245,greet,greeted,grit,gritɪd,-ɪd,Reg,No,-ɪd,68.0
246,think,thought,θɪŋk,θɔt,ɪŋk-ɔt,Irreg,Yes,ruckumlaut,2110.0
247,wink,winked,wɪŋk,wɪŋkt,-t,Reg,No,-t,16.0
248,collectivize,collectivized,kəlɛktɪvaɪz,kəlɛktɪvaɪzd,-d,Reg,No,-d,5.0
249,maintain,maintained,meɪnteɪn,meɪnteɪnd,-d,Reg,No,-d,98.0
250,enter,entered,ɛntər,ɛntərd,-d,Reg,No,-d,194.0
251,operate,operated,ɔpəreɪt,ɔpəreɪtɪd,-ɪd,Reg,No,-ɪd,55.0
252,order,ordered,ɔrdər,ɔrdərd,-d,Reg,Yes,-d,181.0
253,fetter,fettered,fɛtər,fɛtərd,-d,Reg,No,-d,2.0
254,deform,deformed,difɔrm,difɔrmd,-d,Reg,No,-d,2.0
255,blockade,blockaded,blɑkeɪd,blɑkeɪdɪd,-ɪd,Reg,No,-ɪd,1.0
256,deck,decked,dɛk,dɛkt,-t,Reg,No,-t,5.0
257,sprout,sprouted,spraʊt,spraʊtɪd,-ɪd,Reg,No,-ɪd,8.0
258,clench,clenched,klɛnʧ,klɛnʧt,-t,Reg,No,-t,29.0
259,vary,varied,vɛri,vɛrid,-d,Reg,No,-d,32.0
260,outshine,outshined,aʊtʃaɪn,aʊtʃaɪnd,-d,Reg,No,-d,1.0
261,befall,befell,bɪfɔl,bɪfɛl,ɔ-ɛ,Irreg,No,vowel change,5.0
262,handcuff,handcuffed,hændkəf,hændkəft,-t,Reg,No,-t,3.0
263,fortify,fortified,fɔrtəfaɪ,fɔrtəfaɪd,-d,Reg,No,-d,14.0
264,externalize,externalized,ɪkstərnəlaɪz,ɪkstərnəlaɪzd,-d,Reg,No,-d,3.0
265,expostulate,expostulated,ɪkspɑstuleɪt,ɪkspɑstuleɪtɪd,-ɪd,Reg,No,-ɪd,2.0
266,strangle,strangled,stræŋgəl,stræŋgəld,-d,Reg,No,-d,24.0
267,digest,digested,daɪʤɛst,daɪʤɛstɪd,-ɪd,Reg,No,-ɪd,13.0
268,estrange,estranged,ɪstreɪnʤ,ɪstreɪnʤd,-d,Reg,No,-d,4.0
269,idolize,idolized,aɪdəlaɪz,aɪdəlaɪzd,-d,Reg,No,-d,2.0
270,rebuff,rebuffed,rɪbəf,rɪbəft,-t,Reg,No,-t,3.0
271,fix,fixed,fɪks,fɪkst,-t,Reg,Yes,-t,57.0
272,gutter,guttered,gʌtər,gʌtərd,-d,Reg,No,-d,1.0
273,bemoan,bemoaned,bɪmoʊn,bɪmoʊnd,-d,Reg,No,-d,1.0
274,shackle,shackled,ʃækəl,ʃækəld,-d,Reg,No,-d,7.0
275,comprehend,comprehended,kɑmprɪhɛnd,kɑmprɪhɛndɪd,-ɪd,Reg,No,-ɪd,2.0
276,better,bettered,bɛtər,bɛtərd,-d,Reg,No,-d,2.0
277,tramp,tramped,træmp,træmpt,-t,Reg,No,-t,4.0
279,fade,faded,feɪd,feɪdɪd,-ɪd,Reg,No,-ɪd,69.0
280,persist,persisted,pərsɪst,pərsɪstɪd,-ɪd,Reg,No,-ɪd,42.0
281,carve,carved,kɑrv,kɑrvd,-d,Reg,No,-d,55.0
282,overshoot,overshot,oʊvərʃut,oʊvərʃɑt,u-ɑ,Irreg,No,vowel change,2.0
283,overcome,overcame,oʊvərkʌm,oʊvərkeɪm,ʌ-eɪ,Irreg,No,vowel change,13.0
284,vandalize,vandalized,vændəlaɪz,vændəlaɪzd,-d,Reg,No,-d,2.0
285,glorify,glorified,glɔrəfaɪ,glɔrəfaɪd,-d,Reg,No,-d,7.0
286,animate,animated,ænəmeɪt,ænəmeɪtɪd,-ɪd,Reg,No,-ɪd,18.0
287,enrich,enriched,ɛnrɪʧ,ɛnrɪʧt,-t,Reg,No,-t,15.0
288,plaster,plastered,plæstər,plæstərd,-d,Reg,No,-d,14.0
289,roost,roosted,rust,rustɪd,-ɪd,Reg,No,-ɪd,1.0
290,collide,collided,kəlaɪd,kəlaɪdɪd,-ɪd,Reg,No,-ɪd,5.0
291,microfilm,microfilmed,maɪkrəfɪlm,maɪkrəfɪlmd,-d,Reg,No,-d,1.0
292,break,broke,breɪk,broʊk,eɪ-oʊ,Irreg,Yes,vowel change,286.0
293,band,banded,bænd,bændɪd,-ɪd,Reg,No,-ɪd,4.0
294,bang,banged,bæŋ,bæŋd,-d,Reg,Yes,-d,22.0
295,manicure,manicured,mænɪkjər,mænɪkjərd,-d,Reg,No,-d,3.0
296,indulge,indulged,ɪndəlʤ,ɪndəlʤd,-d,Reg,No,-d,16.0
297,interrupt,interrupted,ɪntərəpt,ɪntərəptɪd,-ɪd,Reg,No,-ɪd,66.0
298,disburse,disbursed,dɪsbərs,dɪsbərst,-t,Reg,No,-t,2.0
299,spreadeagle,spreadeagled,sprɛdigəl,sprɛdigəld,-d,Reg,No,-d,4.0
300,bank,banked,bæŋk,bæŋkt,-t,Reg,No,-t,8.0
301,prize,prized,praɪz,praɪzd,-d,Reg,No,-d,10.0
302,rumour,rumoured,rumər,rumərd,-d,Reg,No,-d,10.0
303,extrude,extruded,ɪkstrud,ɪkstrudɪd,-ɪd,Reg,No,-ɪd,2.0
304,repaint,repainted,ripeɪnt,ripeɪntɪd,-ɪd,Reg,No,-ɪd,4.0
305,gallop,galloped,gæləp,gæləpt,-t,Reg,No,-t,8.0
306,defecate,defecated,dɛfəkeɪt,dɛfəkeɪtɪd,-ɪd,Reg,No,-ɪd,1.0
307,daydream,daydreamed,deɪdrim,deɪdrimd,-d,Reg,No,-d,1.0
308,chuck,chucked,ʧʌk,ʧʌkt,-t,Reg,No,-t,7.0
309,explode,exploded,ɪksploʊd,ɪksploʊdɪd,-ɪd,Reg,Yes,-ɪd,38.0
310,affiliate,affiliated,əfɪlieɪt,əfɪlieɪtɪd,-ɪd,Reg,No,-ɪd,15.0
311,misbehave,misbehaved,mɪsbəheɪv,mɪsbəheɪvd,-d,Reg,No,-d,1.0
312,pinch,pinched,pɪnʧ,pɪnʧt,-t,Reg,Yes,-t,18.0
313,toll,tolled,toʊl,toʊld,-d,Reg,No,-d,3.0
314,mean,meant,min,mɛnt,i-ɛt,Irreg,Yes,vowel change + t,515.0
315,consolidate,consolidated,kənsɑlɪdeɪt,kənsɑlɪdeɪtɪd,-ɪd,Reg,No,-ɪd,13.0
316,prohibit,prohibited,proʊhɪbət,proʊhɪbətɪd,-ɪd,Reg,No,-ɪd,14.0
317,shuttle,shuttled,ʃʌtəl,ʃʌtəld,-d,Reg,No,-d,1.0
318,telescope,telescoped,tɛləskoʊp,tɛləskoʊpd,-d,Reg,No,-d,1.0
319,swathe,swathed,swɑð,swɑðd,-d,Reg,No,-d,6.0
320,contravene,contravened,kɑntrəvin,kɑntrəvind,-d,Reg,No,-d,2.0
321,unscrew,unscrewed,ənskru,ənskrud,-d,Reg,No,-d,4.0
322,husband,husbanded,hʌzbənd,hʌzbəndɪd,-ɪd,Reg,No,-ɪd,1.0
