,word,root,size,ipa_word,diff,verb class,ipa_root,reg
37,bunged,bung,4,bʌŋd,-d,-d,bʌŋ,Reg
38,burned,burn,4,bərnd,-d,-d,bərn,Reg
39,burped,burp,2,bərpt,-t,-t,bərp,Reg
40,buzzed,buzz,2,bʌzd,-d,-d,bʌz,Reg
41,called,call,296,kɔld,-d,-d,kɔl,Reg
42,calmed,calm,2,kɑmd,-d,-d,kɑm,Reg
43,came,come,276,keɪm,ʌ-eɪ,vowel change,kʌm,Irreg
44,carried,carry,4,kærid,-d,-d,kæri,Reg
45,caught,catch,54,kɔt,æʧ-ɔt,ruckumlaut,kæʧ,Irreg
46,caused,cause,1,kɔzd,-d,-d,kɔz,Reg
47,challenged,challenge,2,ʧælənʤd,-d,-d,ʧælənʤ,Reg
48,changed,change,21,ʧeɪnʤd,-d,-d,ʧeɪnʤ,Reg
49,chased,chase,2,ʧeɪst,-t,-t,ʧeɪs,Reg
50,checked,check,2,ʧɛkt,-t,-t,ʧɛk,Reg
51,cheered,cheer,1,ʧɪrd,-d,-d,ʧɪr,Reg
52,chewed,chew,7,ʧud,-d,-d,ʧu,Reg
53,chirped,chirp,5,ʧərpt,-t,-t,ʧərp,Reg
54,choked,choke,1,ʧoʊkt,-t,-t,ʧoʊk,Reg
55,chopped,chop,3,ʧɑpt,-t,-t,ʧɑp,Reg
56,chose,choose,3,ʧoʊz,u-oʊ,vowel change,ʧuz,Irreg
57,chugged,chug,2,ʧəgd,-d,-d,ʧəg,Reg
58,clambered,clamber,1,klæmbərd,-d,-d,klæmbər,Reg
59,cleaned,clean,15,klind,-d,-d,klin,Reg
60,climbed,climb,40,klaɪmd,-d,-d,klaɪm,Reg
61,clobbered,clobber,1,klɑbərd,-d,-d,klɑbər,Reg
62,closed,close,24,kloʊzd,-d,-d,kloʊz,Reg
63,clunked,clunk,1,klʌŋkt,-t,-t,klʌŋk,Reg
64,collapsed,collapse,1,kəlæpst,-t,-t,kəlæps,Reg
65,collected,collect,1,kəlɛktɪd,-ɪd,-ɪd,kəlɛkt,Reg
66,colored,color,21,kʌlərd,-d,-d,kʌlər,Reg
67,combed,comb,1,koʊmd,-d,-d,koʊm,Reg
68,compared,compare,1,kəmpɛrd,-d,-d,kəmpɛr,Reg
69,considered,consider,1,kənsɪdərd,-d,-d,kənsɪdər,Reg
70,continued,continue,1,kəntɪnjud,-d,-d,kəntɪnju,Reg
71,controlled,control,1,kəntroʊld,-d,-d,kəntroʊl,Reg
72,cooked,cook,2,kʊkt,-t,-t,kʊk,Reg
73,cooled,cool,1,kuld,-d,-d,kul,Reg
74,copied,copy,1,kɑpid,-d,-d,kɑpi,Reg
75,coughed,cough,1,kɔft,-t,-t,kɔf,Reg
76,counted,count,9,kaʊntɪd,-ɪd,-ɪd,kaʊnt,Reg
77,covered,cover,13,kəvərd,-d,-d,kəvər,Reg
78,cracked,crack,2,krækt,-t,-t,kræk,Reg
79,crammed,cram,1,kræmd,-d,-d,kræm,Reg
80,crashed,crash,12,kræʃt,-t,-t,kræʃ,Reg
81,crept,creep,1,krɛpt,i-ɛt,vowel change + t,krip,Irreg
82,cried,cry,37,kraɪd,-d,-d,kraɪ,Reg
83,crossed,cross,4,krɔst,-t,-t,krɔs,Reg
84,crowded,crowd,3,kraʊdɪd,-ɪd,-ɪd,kraʊd,Reg
85,crumpled,crumple,1,krəmpəld,-d,-d,krəmpəl,Reg
86,crunched,crunch,2,krənʧt,-t,-t,krənʧ,Reg
87,curled,curl,1,kərld,-d,-d,kərl,Reg
88,danced,dance,5,dænst,-t,-t,dæns,Reg
89,decided,decide,7,dɪsaɪdɪd,-ɪd,-ɪd,dɪsaɪd,Reg
90,declared,declare,1,dɪklɛrd,-d,-d,dɪklɛr,Reg
91,defrosted,defrost,1,dɪfrɔstɪd,-ɪd,-ɪd,dɪfrɔst,Reg
92,did,do,1510,dɪd,ɪd-u,other,du,Irreg
93,died,die,11,daɪd,-d,-d,daɪ,Reg
94,disappointed,disappoint,1,dɪsəpɔɪntɪd,-ɪd,-ɪd,dɪsəpɔɪnt,Reg
95,discouraged,discourage,1,dɪskərɪʤd,-d,-d,dɪskərɪʤ,Reg
96,discovered,discover,1,dɪskəvərd,-d,-d,dɪskəvər,Reg
97,distorted,distort,1,dɪstɔrtɪd,-ɪd,-ɪd,dɪstɔrt,Reg
98,dotted,dot,4,dɑtɪd,-ɪd,-ɪd,dɑt,Reg
99,dozed,doze,1,doʊzd,-d,-d,doʊz,Reg
100,dragged,drag,1,drægd,-d,-d,dræg,Reg
101,dreamed,dream,1,drimd,-d,-d,drim,Reg
102,dressed,dress,127,drɛst,-t,-t,drɛs,Reg
103,drew,draw,32,dru,ɔ-u,vowel change,drɔ,Irreg
104,dried,dry,11,draɪd,-d,-d,draɪ,Reg
105,dropped,drop,117,drɔpt,-t,-t,drɔp,Reg
106,drowned,drown,2,draʊnd,-d,-d,draʊn,Reg
107,dusted,dust,2,dʌstɪd,-ɪd,-ɪd,dʌst,Reg
108,ended,end,3,ɛndɪd,-ɪd,-ɪd,ɛnd,Reg
109,enjoyed,enjoy,3,ɛnʤɔɪd,-d,-d,ɛnʤɔɪ,Reg
110,examined,examine,1,ɪgzæmənd,-d,-d,ɪgzæmən,Reg
111,excited,excite,6,ɪksaɪtɪd,-ɪd,-ɪd,ɪksaɪt,Reg
112,exclaimed,exclaim,1,ɪkskleɪmd,-d,-d,ɪkskleɪm,Reg
113,excused,excuse,1,ɪkskjuzd,-d,-d,ɪkskjuz,Reg
114,expected,expect,1,ɪkspɛktɪd,-ɪd,-ɪd,ɪkspɛkt,Reg
115,explained,explain,1,ɪkspleɪnd,-d,-d,ɪkspleɪn,Reg
116,exploded,explode,1,ɪksploʊdɪd,-ɪd,-ɪd,ɪksploʊd,Reg
117,eyed,eye,1,aɪd,-d,-d,aɪ,Reg
118,fastened,fasten,1,fæsənd,-d,-d,fæsən,Reg
119,fattened,fatten,1,fætənd,-d,-d,fætən,Reg
120,fell,fall,246,fɛl,ɔ-ɛ,vowel change,fɔl,Irreg
121,felt,feel,6,fɛlt,i-ɛt,vowel change + t,fil,Irreg
122,figured,figure,5,fɪgjərd,-d,-d,fɪgjər,Reg
123,filled,fill,2,fɪld,-d,-d,fɪl,Reg
124,finished,finish,212,fɪnɪʃt,-t,-t,fɪnɪʃ,Reg
125,fitted,fit,2,fɪtɪd,-ɪd,-ɪd,fɪt,Reg
126,fixed,fix,50,fɪkst,-t,-t,fɪks,Reg
127,flew,fly,20,flu,aɪ-u,vowel change,flaɪ,Irreg
128,flopped,flop,1,flɑpt,-t,-t,flɑp,Reg
129,flushed,flush,1,flʌʃt,-t,-t,flʌʃ,Reg
130,folded,fold,2,foʊldɪd,-ɪd,-ɪd,foʊld,Reg
131,followed,follow,14,fɑloʊd,-d,-d,fɑloʊ,Reg
132,fooled,fool,5,fuld,-d,-d,ful,Reg
133,forgot,forget,125,fərgɑt,ɛ-ɑ,vowel change,fərgɛt,Irreg
134,fought,fight,2,fɔt,aɪ-ɔ,vowel change,faɪt,Irreg
135,found,find,306,faʊnd,ɪ-ʊ,vowel change,faɪnd,Irreg
136,fried,fry,2,fraɪd,-d,-d,fraɪ,Reg
137,frightened,frighten,4,fraɪtənd,-d,-d,fraɪtən,Reg
138,froze,freeze,1,froʊz,i-oʊ,vowel change,friz,Irreg
139,fudged,fudge,1,fəʤd,-d,-d,fəʤ,Reg
140,gasped,gasp,2,gæspt,-t,-t,gæsp,Reg
141,gave,give,185,geɪv,ɪ-eɪ,vowel change,gɪv,Irreg
142,giggled,giggle,1,gɪgəld,-d,-d,gɪgəl,Reg
143,glued,glue,2,glud,-d,-d,glu,Reg
144,gnashed,gnash,2,næʃt,-t,-t,næʃ,Reg
145,got,get,2482,gɑt,ɛ-ɑ,vowel change,gɛt,Irreg
146,grabbed,grab,1,græbd,-d,-d,græb,Reg
147,grew,grow,34,gru,oʊ-u,vowel change,groʊ,Irreg
148,growled,growl,6,graʊld,-d,-d,graʊl,Reg
149,grumbled,grumble,1,grʌmbəld,-d,-d,grʌmbəl,Reg
150,grunted,grunt,1,grəntɪd,-ɪd,-ɪd,grənt,Reg
151,guarded,guard,1,gɑrdɪd,-ɪd,-ɪd,gɑrd,Reg
152,guessed,guess,1,gɛst,-t,-t,gɛs,Reg
153,happened,happen,410,hæpənd,-d,-d,hæpən,Reg
154,hatched,hatch,1,hæʧt,-t,-t,hæʧ,Reg
155,hated,hate,2,heɪtɪd,-ɪd,-ɪd,heɪt,Reg
156,heard,hear,59,hərd,i-əd,vowel change + d,hir,Irreg
157,held,hold,12,hɛld,oʊ-ɛ,vowel change,hoʊld,Irreg
158,helped,help,10,hɛlpt,-t,-t,hɛlp,Reg
159,hooted,hoot,1,hutɪd,-ɪd,-ɪd,hut,Reg
160,hoovered,hoover,1,huvərd,-d,-d,huvər,Reg
161,hopped,hop,4,hɑpt,-t,-t,hɑp,Reg
162,howled,howl,2,haʊld,-d,-d,haʊl,Reg
163,hugged,hug,5,hʌgd,-d,-d,hʌg,Reg
164,hummed,hum,2,həmd,-d,-d,həm,Reg
165,hung,hang,2,hʌŋ,æ-ʌ,vowel change,hæŋ,Irreg
166,hurried,hurry,1,hərid,-d,-d,həri,Reg
167,iced,ice,2,aɪst,-t,-t,aɪs,Reg
168,inherited,inherit,1,ɪnhɛrətɪd,-ɪd,-ɪd,ɪnhɛrət,Reg
169,insisted,insist,1,ɪnsɪstɪd,-ɪd,-ɪd,ɪnsɪst,Reg
170,invited,invite,2,ɪnvaɪtɪd,-ɪd,-ɪd,ɪnvaɪt,Reg
171,ironed,iron,1,aɪərnd,-d,-d,aɪərn,Reg
172,jogged,jogb,6,ʤɑgd,-d,-d,ʤɑg,Reg
173,joined,join,1,ʤɔɪnd,-d,-d,ʤɔɪn,Reg
174,jumped,jump,37,ʤəmpt,-t,-t,ʤəmp,Reg
175,kept,keep,20,kɛpt,i-ɛt,vowel change + t,kip,Irreg
176,kicked,kick,8,kɪkt,-t,-t,kɪk,Reg
177,killed,kill,5,kɪld,-d,-d,kɪl,Reg
178,kissed,kiss,3,kɪst,-t,-t,kɪs,Reg
179,knew,know,62,nu,oʊ-u,vowel change,noʊ,Irreg
180,knocked,knock,51,nɑkt,-t,-t,nɑk,Reg
181,laid,lay,8,leɪd,-d,-d,leɪ,Reg
182,landed,land,13,lændɪd,-ɪd,-ɪd,lænd,Reg
183,laughed,laugh,6,læft,-t,-t,læf,Reg
184,launched,launch,1,lɔnʧt,-t,-t,lɔnʧ,Reg
185,leapt,leap,1,lɛpt,i-ɛt,vowel change + t,lip,Irreg
186,learned,learn,7,lərnd,-d,-d,lərn,Reg
187,left,leave,151,lɛft,iv-ɛft,vowel change + t,liv,Irreg
188,licked,lick,1,lɪkt,-t,-t,lɪk,Reg
189,lifted,lift,5,lɪftɪd,-ɪd,-ɪd,lɪft,Reg
190,liked,like,35,laɪkt,-t,-t,laɪk,Reg
191,lined,line,3,laɪnd,-d,-d,laɪn,Reg
192,listened,listen,6,lɪsənd,-d,-d,lɪsən,Reg
193,lived,live,34,lɪvd,-d,-d,lɪv,Reg
194,loaned,loan,1,loʊnd,-d,-d,loʊn,Reg
195,locked,lock,8,lɑkt,-t,-t,lɑk,Reg
196,looked,look,60,lʊkt,-t,-t,lʊk,Reg
197,lost,lose,139,lɔst,uz-ɔst,vowel change + t,luz,Irreg
198,loved,love,6,lʌvd,-d,-d,lʌv,Reg
199,made,make,368,meɪd,k-d,other,meɪk,Irreg
200,managed,manage,5,mænɪʤd,-d,-d,mænɪʤ,Reg
201,married,marry,2,mɛrid,-d,-d,mɛri,Reg
202,mashed,mash,8,mæʃt,-t,-t,mæʃ,Reg
203,matched,match,1,mæʧt,-t,-t,mæʧ,Reg
204,meant,mean,40,mɛnt,i-ɛt,vowel change + t,min,Irreg
205,measured,measure,5,mɛʒərd,-d,-d,mɛʒər,Reg
206,melted,melt,9,mɛltɪd,-ɪd,-ɪd,mɛlt,Reg
207,messed,mess,10,mɛst,-t,-t,mɛs,Reg
208,met,meet,17,mɛt,i-ɛ,vowel change,mit,Irreg
209,missed,miss,96,mɪst,-t,-t,mɪs,Reg
210,mixed,mix,16,mɪkst,-t,-t,mɪks,Reg
211,moved,move,15,muvd,-d,-d,muv,Reg
212,murdered,murder,1,mərdərd,-d,-d,mərdər,Reg
213,named,name,17,neɪmd,-d,-d,neɪm,Reg
214,neared,near,1,nɪrd,-d,-d,nɪr,Reg
215,needed,need,7,nidɪd,-ɪd,-ɪd,nid,Reg
216,nodded,nod,2,nɑdɪd,-ɪd,-ɪd,nɑd,Reg
217,noticed,notice,3,noʊtɪst,-t,-t,noʊtɪs,Reg
218,offered,offer,1,ɔfərd,-d,-d,ɔfər,Reg
219,opened,open,33,oʊpənd,-d,-d,oʊpən,Reg
220,ordered,order,1,ɔrdərd,-d,-d,ɔrdər,Reg
221,outgrew,outgrow,1,aʊtgru,oʊ-u,vowel change,aʊtgroʊ,Irreg
222,packed,pack,1,pækt,-t,-t,pæk,Reg
223,paid,pay,9,peɪd,-d,-d,peɪ,Reg
224,painted,paint,20,peɪntɪd,-ɪd,-ɪd,peɪnt,Reg
225,panted,pant,4,pæntɪd,-ɪd,-ɪd,pænt,Reg
226,parked,park,4,pɑrkt,-t,-t,pɑrk,Reg
227,passed,pass,1,pæst,-t,-t,pæs,Reg
228,peeked,peek,1,pikt,-t,-t,pik,Reg
229,picked,pick,30,pɪkt,-t,-t,pɪk,Reg
230,pinched,pinch,1,pɪnʧt,-t,-t,pɪnʧ,Reg
231,piped,pipe,1,paɪpt,-t,-t,paɪp,Reg
232,placed,place,5,pleɪst,-t,-t,pleɪs,Reg
233,planted,plant,19,plæntɪd,-ɪd,-ɪd,plænt,Reg
234,played,play,46,pleɪd,-d,-d,pleɪ,Reg
235,pleased,please,6,plizd,-d,-d,pliz,Reg
236,plodded,plod,1,plɑdɪd,-ɪd,-ɪd,plɑd,Reg
237,plugged,plug,2,pləgd,-d,-d,pləg,Reg
238,pointed,point,2,pɔɪntɪd,-ɪd,-ɪd,pɔɪnt,Reg
239,poked,poke,2,poʊkt,-t,-t,poʊk,Reg
240,pooed,poo,1,pud,-d,-d,pu,Reg
241,popped,pop,19,pɑpt,-t,-t,pɑp,Reg
242,posted,post,1,poʊstɪd,-ɪd,-ɪd,poʊst,Reg
243,poured,pour,2,pɔrd,-d,-d,pɔr,Reg
244,prepared,prepare,1,pripɛrd,-d,-d,pripɛr,Reg
245,pressed,press,3,prɛst,-t,-t,prɛs,Reg
246,pretended,pretend,2,pritɛndɪd,-ɪd,-ɪd,pritɛnd,Reg
247,protected,protect,1,prətɛktɪd,-ɪd,-ɪd,prətɛkt,Reg
248,pulled,pull,28,pʊld,-d,-d,pʊl,Reg
249,punched,punch,2,pʌnʧt,-t,-t,pʌnʧ,Reg
250,pushed,push,17,pʊʃt,-t,-t,pʊʃ,Reg
251,puzzled,puzzle,1,pəzəld,-d,-d,pəzəl,Reg
252,quivered,quiver,1,kwɪvərd,-d,-d,kwɪvər,Reg
253,raced,race,8,reɪst,-t,-t,reɪs,Reg
254,rained,rain,4,reɪnd,-d,-d,reɪn,Reg
255,ran,run,55,ræn,ʌ-æ,vowel change,rʌn,Irreg
256,rang,ring,3,ræŋ,ɪ-æ,vowel change,rɪŋ,Irreg
257,reached,reach,17,riʧt,-t,-t,riʧ,Reg
258,realized,realize,1,riəlaɪzd,-d,-d,riəlaɪz,Reg
259,recognized,recognize,1,rɛkəgnaɪzd,-d,-d,rɛkəgnaɪz,Reg
260,recorded,record,2,rɪkɔrdɪd,-ɪd,-ɪd,rɪkɔrd,Reg
261,related,relate,1,rɪleɪtɪd,-ɪd,-ɪd,rɪleɪt,Reg
262,remembered,remember,6,rɪmɛmbərd,-d,-d,rɪmɛmbər,Reg
263,repaired,repair,1,rɪpɛrd,-d,-d,rɪpɛr,Reg
264,rescued,rescue,2,rɛskjud,-d,-d,rɛskju,Reg
265,rested,rest,1,rɛstɪd,-ɪd,-ɪd,rɛst,Reg
266,retired,retire,1,rɪtaɪrd,-d,-d,rɪtaɪr,Reg
267,returned,return,1,rɪtərnd,-d,-d,rɪtərn,Reg
268,rinsed,rinse,2,rɪnst,-t,-t,rɪns,Reg
269,ripped,rip,12,rɪpt,-t,-t,rɪp,Reg
270,roared,roar,13,rɔrd,-d,-d,rɔr,Reg
271,rode,ride,15,roʊd,aɪ-oʊ,vowel change,raɪd,Irreg
272,rolled,roll,9,roʊld,-d,-d,roʊl,Reg
273,rubbed,rub,20,rʌbd,-d,-d,rʌb,Reg
274,ruined,ruin,1,ruɪnd,-d,-d,ruɪn,Reg
275,rushed,rush,1,rʌʃt,-t,-t,rʌʃ,Reg
276,said,say,891,sɛd,eɪ-ɛ,vowel change,seɪ,Irreg
277,sailed,sail,4,seɪld,-d,-d,seɪl,Reg
278,sang,sing,14,sæŋ,ɪ-æ,vowel change,sɪŋ,Irreg
279,sat,sit,64,sæt,ɪ-æ,vowel change,sɪt,Irreg
280,saved,save,11,seɪvd,-d,-d,seɪv,Reg
281,saw,see,263,sɔ,i-ɔ,vowel change,si,Irreg
282,scared,scare,69,skɛrd,-d,-d,skɛr,Reg
283,scooted,scoot,1,skutɪd,-ɪd,-ɪd,skut,Reg
284,scrambled,scramble,2,skræmbəld,-d,-d,skræmbəl,Reg
285,scratched,scratch,7,skræʧt,-t,-t,skræʧ,Reg
286,screamed,scream,1,skrimd,-d,-d,skrim,Reg
287,scribbled,scribble,2,skrɪbəld,-d,-d,skrɪbəl,Reg
288,searched,search,4,sərʧt,-t,-t,sərʧ,Reg
289,sent,send,12,sɛnt,d-t,weak,sɛnd,Irreg
290,settled,settle,1,sɛtəld,-d,-d,sɛtəl,Reg
291,shaped,shape,4,ʃeɪpt,-t,-t,ʃeɪp,Reg
292,shared,share,2,ʃɛrd,-d,-d,ʃɛr,Reg
293,shaved,shave,1,ʃeɪvd,-d,-d,ʃeɪv,Reg
294,shook,shake,1,ʃʊk,eɪ-ʊ,vowel change,ʃeɪk,Irreg
295,shot,shoot,2,ʃɑt,u-ɑ,vowel change,ʃut,Irreg
296,shouted,shout,3,ʃaʊtɪd,-ɪd,-ɪd,ʃaʊt,Reg
297,shoveled,shovel,1,ʃʌvəld,-d,-d,ʃʌvəl,Reg
298,showed,show,14,ʃoʊd,-d,-d,ʃoʊ,Reg
299,signed,sign,1,saɪnd,-d,-d,saɪn,Reg
300,sized,size,3,saɪzd,-d,-d,saɪz,Reg
301,slept,sleep,25,slɛpt,i-ɛt,vowel change + t,slip,Irreg
302,slid,slide,7,slɪd,aɪ-ɪ,vowel change,slaɪd,Irreg
303,slipped,slip,10,slɪpt,-t,-t,slɪp,Reg
304,smelled,smell,2,smɛld,-d,-d,smɛl,Reg
305,smiled,smile,7,smaɪld,-d,-d,smaɪl,Reg
306,snapped,snap,13,snæpt,-t,-t,snæp,Reg
307,snatched,snatch,7,snæʧt,-t,-t,snæʧ,Reg
308,sneaked,sneak,3,snikt,-t,-t,snik,Reg
309,snuggled,snuggle,1,snʌgəld,-d,-d,snʌgəl,Reg
310,soaked,soak,1,soʊkt,-t,-t,soʊk,Reg
311,solved,solve,1,sɑlvd,-d,-d,sɑlv,Reg
312,sorted,sort,13,sɔrtɪd,-ɪd,-ɪd,sɔrt,Reg
313,sounded,sound,8,saʊndɪd,-ɪd,-ɪd,saʊnd,Reg
314,spanked,spank,3,spæŋkt,-t,-t,spæŋk,Reg
315,spelt,spell,2,spɛlt,-t,-t,spɛl,Reg
316,spent,spend,6,spɛnt,d-t,weak,spɛnd,Irreg
317,spied,spy,1,spaɪd,-d,-d,spaɪ,Reg
318,spilled,spill,36,spɪld,-d,-d,spɪl,Reg
319,spilt,spill,14,spɪlt,-t,-t,spɪl,Reg
320,splashed,splash,2,splæʃt,-t,-t,splæʃ,Reg
321,spoke,speak,4,spoʊk,i-oʊ,vowel change,spik,Irreg
322,squashed,squash,3,skwɑʃt,-t,-t,skwɑʃ,Reg
323,squeezed,squeeze,3,skwizd,-d,-d,skwiz,Reg
324,squished,squish,3,skwɪʃt,-t,-t,skwɪʃ,Reg
325,stained,stain,1,steɪnd,-d,-d,steɪn,Reg
326,stamped,stamp,1,stæmpt,-t,-t,stæmp,Reg
327,stared,stare,2,stɛrd,-d,-d,stɛr,Reg
328,started,start,55,stɑrtɪd,-ɪd,-ɪd,stɑrt,Reg
329,stayed,stay,25,steɪd,-d,-d,steɪ,Reg
330,stepped,step,4,stɛpt,-t,-t,stɛp,Reg
331,stole,steal,2,stoʊl,i-oʊ,vowel change,stil,Irreg
332,stood,stand,16,stʊd,æn-ʊ,vowel change,stænd,Irreg
333,stopped,stop,43,stɑpt,-t,-t,stɑp,Reg
334,straightened,straighten,1,streɪtənd,-d,-d,streɪtən,Reg
335,stretched,stretch,3,strɛʧt,-t,-t,strɛʧ,Reg
336,struck,strike,3,strʌk,aɪ-ʌ,vowel change,straɪk,Irreg
337,stuck,stick,169,stʌk,ɪ-ʌ,vowel change,stɪk,Irreg
338,stung,sting,3,stʌŋ,ɪ-ʌ,vowel change,stɪŋ,Irreg
339,sucked,suck,3,sʌkt,-t,-t,sʌk,Reg
340,suggested,suggest,2,səʤɛstɪd,-ɪd,-ɪd,səʤɛst,Reg
341,surprised,surprise,4,səpraɪzd,-d,-d,səpraɪz,Reg
342,swallowed,swallow,1,swɔloʊd,-d,-d,swɔloʊ,Reg
343,swam,swim,4,swæm,ɪ-æ,vowel change,swɪm,Irreg
344,swapped,swap,2,swɔpt,-t,-t,swɔp,Reg
345,swept,sweep,1,swɛpt,i-ɛt,vowel change + t,swip,Irreg
346,switched,switch,1,swɪʧt,-t,-t,swɪʧ,Reg
347,talked,talk,5,tɔkt,-t,-t,tɔk,Reg
348,tamed,tame,1,teɪmd,-d,-d,teɪm,Reg
349,tangled,tangle,2,tæŋgəld,-d,-d,tæŋgəl,Reg
350,taped,tape,3,teɪpt,-t,-t,teɪp,Reg
351,tasted,taste,2,teɪstɪd,-ɪd,-ɪd,teɪst,Reg
352,tattered,tatter,1,tætərd,-d,-d,tætər,Reg
353,taught,teach,13,tɔt,iʧ-ɔt,ruckumlaut,tiʧ,Irreg
354,thought,think,433,θɔt,ɪŋk-ɔt,ruckumlaut,θɪŋk,Irreg
355,threatened,threaten,2,θrɛtənd,-d,-d,θrɛtən,Reg
356,threw,throw,52,θru,oʊ-u,vowel change,θroʊ,Irreg
357,tickled,tickle,4,tɪkəld,-d,-d,tɪkəl,Reg
358,tidied,tidy,15,taɪdid,-d,-d,taɪdi,Reg
359,tied,tie,14,taɪd,-d,-d,taɪ,Reg
360,tipped,tip,8,tɪpt,-t,-t,tɪp,Reg
361,tired,tire,214,taɪərd,-d,-d,taɪər,Reg
362,toasted,toast,1,toʊstɪd,-ɪd,-ɪd,toʊst,Reg
363,told,tell,191,toʊd,ɛl-oʊd,vowel change + d,tɛl,Irreg
364,took,take,232,tʊk,eɪ-ʊ,vowel change,teɪk,Irreg
365,touched,touch,5,tʌʧt,-t,-t,tʌʧ,Reg
366,trailed,trail,1,treɪld,-d,-d,treɪl,Reg
367,trained,train,2,treɪnd,-d,-d,treɪn,Reg
368,trapped,trap,13,træpt,-t,-t,træp,Reg
369,tricked,trick,1,trɪkt,-t,-t,trɪk,Reg
370,tried,try,34,traɪd,-d,-d,traɪ,Reg
371,tripped,trip,3,trɪpt,-t,-t,trɪp,Reg
372,trumpeted,trumpet,1,trʌmpətɪd,-ɪd,-ɪd,trʌmpət,Reg
373,tucked,tuck,1,tʌkt,-t,-t,tʌk,Reg
374,tumbled,tumble,2,tʌmbəld,-d,-d,tʌmbəl,Reg
375,turned,turn,40,tərnd,-d,-d,tərn,Reg
376,twisted,twist,1,twɪstɪd,-ɪd,-ɪd,twɪst,Reg
377,unbuttoned,unbutton,1,ənbʌtənd,-d,-d,ənbʌtən,Reg
378,understood,understand,1,əndərstʊd,æn-ʊ,vowel change,əndərstænd,Irreg
379,used,use,18,juzd,-d,-d,juz,Reg
380,visited,visit,2,vɪzɪtɪd,-ɪd,-ɪd,vɪzɪt,Reg
381,wailed,wail,1,weɪld,-d,-d,weɪl,Reg
382,waited,wait,1,weɪtɪd,-ɪd,-ɪd,weɪt,Reg
383,walked,walk,23,wɔkt,-t,-t,wɔk,Reg
384,wanted,want,197,wɔntɪd,-ɪd,-ɪd,wɔnt,Reg
385,warmed,warm,1,wɔrmd,-d,-d,wɔrm,Reg
386,warned,warn,1,wɔrnd,-d,-d,wɔrn,Reg
387,washed,wash,22,wɑʃt,-t,-t,wɑʃ,Reg
388,wasted,waste,1,weɪstɪd,-ɪd,-ɪd,weɪst,Reg
389,watched,watch,26,wɔʧt,-t,-t,wɔʧ,Reg
390,watered,water,1,wɔtərd,-d,-d,wɔtər,Reg
391,waved,wave,5,weɪvd,-d,-d,weɪv,Reg
392,went,go,799,wɛnt,goʊ-wɛnt,other,goʊ,Irreg
393,whirled,whirl,1,wərld,-d,-d,wərl,Reg
394,whispered,whisper,1,wɪspərd,-d,-d,wɪspər,Reg
